Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Invensys.ExternalApi.Common\Invensys.ExternalApi.Common.csproj,File,src\Invensys.ExternalApi.Common\Invensys.ExternalApi.Common.csproj,,,Microsoft.Extensions.Http 8.0.1,,,,,"Microsoft.Extensions.Http, 8.0.1  Recommendation:  Remove Microsoft.Extensions.Http, and replace with new package Microsoft.Extensions.Http 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Invensys.ExternalApi.Common\Invensys.ExternalApi.Common.csproj,File,src\Invensys.ExternalApi.Common\Invensys.ExternalApi.Common.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Invensys.ExternalApi.IntegraFlow\Invensys.ExternalApi.IntegraFlow.csproj,File,Invensys.ExternalApi.IntegraFlow\Invensys.ExternalApi.IntegraFlow.csproj,,,Microsoft.Extensions.Http 8.0.1,,,,,"Microsoft.Extensions.Http, 8.0.1  Recommendation:  Remove Microsoft.Extensions.Http, and replace with new package Microsoft.Extensions.Http 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Invensys.ExternalApi.IntegraFlow\Invensys.ExternalApi.IntegraFlow.csproj,File,Invensys.ExternalApi.IntegraFlow\Invensys.ExternalApi.IntegraFlow.csproj,,,Microsoft.Extensions.Http.Polly 8.0.17,,,,,"Microsoft.Extensions.Http.Polly, 8.0.17  Recommendation:  Remove Microsoft.Extensions.Http.Polly, and replace with new package Microsoft.Extensions.Http.Polly 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Invensys.ExternalApi.IntegraFlow\Invensys.ExternalApi.IntegraFlow.csproj,File,Invensys.ExternalApi.IntegraFlow\Invensys.ExternalApi.IntegraFlow.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,tests\Invensys.ExternalApi.IntegrationTests\Invensys.ExternalApi.IntegrationTests.csproj,File,tests\Invensys.ExternalApi.IntegrationTests\Invensys.ExternalApi.IntegrationTests.csproj,,,Microsoft.AspNetCore.Mvc.Testing 8.0.7,,,,,"Microsoft.AspNetCore.Mvc.Testing, 8.0.7  Recommendation:  Remove Microsoft.AspNetCore.Mvc.Testing, and replace with new package Microsoft.AspNetCore.Mvc.Testing 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\Invensys.ExternalApi.IntegrationTests\Invensys.ExternalApi.IntegrationTests.csproj,File,tests\Invensys.ExternalApi.IntegrationTests\Invensys.ExternalApi.IntegrationTests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Invensys.ExternalApi.Odata\Invensys.ExternalApi.Odata.csproj,File,src\Invensys.ExternalApi.Odata\Invensys.ExternalApi.Odata.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Invensys.ExternalApi.PaySpace\Invensys.ExternalApi.PaySpace.csproj,File,src\Invensys.ExternalApi.PaySpace\Invensys.ExternalApi.PaySpace.csproj,,,Microsoft.Extensions.DependencyInjection 8.0.1,,,,,"Microsoft.Extensions.DependencyInjection, 8.0.1  Recommendation:  Remove Microsoft.Extensions.DependencyInjection, and replace with new package Microsoft.Extensions.DependencyInjection 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Invensys.ExternalApi.PaySpace\Invensys.ExternalApi.PaySpace.csproj,File,src\Invensys.ExternalApi.PaySpace\Invensys.ExternalApi.PaySpace.csproj,,,Microsoft.Extensions.Http.Polly 8.0.17,,,,,"Microsoft.Extensions.Http.Polly, 8.0.17  Recommendation:  Remove Microsoft.Extensions.Http.Polly, and replace with new package Microsoft.Extensions.Http.Polly 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Invensys.ExternalApi.PaySpace\Invensys.ExternalApi.PaySpace.csproj,File,src\Invensys.ExternalApi.PaySpace\Invensys.ExternalApi.PaySpace.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Invensys.ExternalApi.PaySpace.Entities\Invensys.ExternalApi.PaySpace.Entities.csproj,File,src\Invensys.ExternalApi.PaySpace.Entities\Invensys.ExternalApi.PaySpace.Entities.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Invensys.ExternalApi.Sage300\Invensys.ExternalApi.Sage300.csproj,File,src\Invensys.ExternalApi.Sage300\Invensys.ExternalApi.Sage300.csproj,,,Microsoft.Extensions.Http.Polly 8.0.17,,,,,"Microsoft.Extensions.Http.Polly, 8.0.17  Recommendation:  Remove Microsoft.Extensions.Http.Polly, and replace with new package Microsoft.Extensions.Http.Polly 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Invensys.ExternalApi.Sage300\Invensys.ExternalApi.Sage300.csproj,File,src\Invensys.ExternalApi.Sage300\Invensys.ExternalApi.Sage300.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,tests\Invensys.ExternalApi.UnitTests\Invensys.ExternalApi.UnitTests.csproj,File,tests\Invensys.ExternalApi.UnitTests\Invensys.ExternalApi.UnitTests.csproj,,,Microsoft.Extensions.Http 8.0.1,,,,,"Microsoft.Extensions.Http, 8.0.1  Recommendation:  Remove Microsoft.Extensions.Http, and replace with new package Microsoft.Extensions.Http 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\Invensys.ExternalApi.UnitTests\Invensys.ExternalApi.UnitTests.csproj,File,tests\Invensys.ExternalApi.UnitTests\Invensys.ExternalApi.UnitTests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Testing.Emulator\Testing.Emulator.csproj,File,Testing.Emulator\Testing.Emulator.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
